ID,Name,Country,Sovereigns,Islands
738,LAMAHOLOT/Ile Mandiri,East Timor,East Timor,
739,LAMAHOLOT/South,East Timor,East Timor,
740,LAMAHOLOT/Pukaunu,East Timor,East Timor,
741,"TIMORESE/Amabi,Fatulau,Amfoan",East Timor,East Timor,
743,SIKKA/Tana Ai,East Timor,East Timor,
744,SIKKA/South Coast,East Timor,East Timor,
745,SIKKA/Central,East Timor,East Timor,
746,ENDE-LIO/Nga'o,East Timor,East Timor,
747,ENDE-LIO/Ende(Ja'o),East Timor,East Timor,
748,ENDE-LIO/Lio(Aku),East Timor,East Timor,
749,MANGGARAI/East,East Timor,East Timor,
750,ENDE-LIO/Nage-Keo,East Timor,East Timor,
751,RIUNG,East Timor,East Timor,
752,NGADA,East Timor,East Timor,
753,NGADA/South-Western,East Timor,East Timor,
754,NGADA/South-Eastern,East Timor,East Timor,
755,NGADA/Central,Indonesia,,
756,NGADA/Soa,Indonesia,,
757,MANGGARAI/Central Eastern,East Timor,East Timor,
758,MANGGARAI/Central,East Timor,East Timor,
759,MANGGARAI/West,East Timor,East Timor,
760,MANGGARAI/Transitional,East Timor,East Timor,
761,BIMA/Bima,Indonesia,Indonesia,
762,SASAK/Central,Indonesia,Indonesia,
763,NDAO,Indonesia,,
765,SAVU/Liae,Indonesia,Indonesia,
766,SAVU/Seba,Indonesia,Indonesia,
767,(KAMBERA)EAST SUMBANESE/Mangili-Waijelo,Indonesia,Indonesia,
769,(KAMBERA)EAST SUMBANESE/Melolo,Indonesia,Indonesia,
770,SAVU,Indonesia,Indonesia,
771,(KAMBERA)EAST SUMBANESE/Southern,Indonesia,Indonesia,
772,(KAMBERA)EAST SUMBANESE/Kambera,Indonesia,Indonesia,
773,(KAMBERA)EAST SUMBANESE/Lewa,Indonesia,Indonesia,
774,(KAMBERA)EAST SUMBANESE/Kanatang,Indonesia,Indonesia,
775,KODI,Indonesia,Indonesia,
777,LAMBOYA,Indonesia,Indonesia,
779,WANUKAKA/Rua,Indonesia,Indonesia,
780,WANUKAKA/Wanukaka,Indonesia,Indonesia,
781,WEYEWA/Weyewa,Indonesia,Indonesia,
782,WEYEWA/Laura,Indonesia,Indonesia,
783,MAMBORU,Indonesia,Indonesia,
784,(KAMBERA)EAST SUMBANESE/Umbu Ratu Nggai,Indonesia,Indonesia,
785,ANAKALANGU,Indonesia,Indonesia,
786,WEYEWA/Lauli,Indonesia,Indonesia,
787,WEYEWA/Tana Righu,Indonesia,Indonesia,
788,PALU'E,Indonesia,,
789,BALI MALAY,Indonesia,Indonesia,
790,BALINESE/Standard,Indonesia,Indonesia,
792,JAVANESE/North-Western,Indonesia,Indonesia,
793,MADURESE/all Dialects,Indonesia,Indonesia,
